rank,title,artist,album,genre,streams,source,fetched_at,score,key
27,Expectations,Olivia Rodrigo,,,0,billboard,2026-07-03,48.0,expectations — olivia rodrigo
28,My Way,Olivia Rodrigo,,,0,billboard,2026-07-03,46.0,my way — olivia rodrigo
29,Babydoll,Dominic Fike,,,0,billboard,2026-07-03,44.0,babydoll — dominic fike
30,What's Wrong With Me,Olivia Rodrigo & Robert Smith,,,0,billboard,2026-07-03,42.0,what's wrong with me — olivia rodrigo & robert smith
31,Begged,Olivia Rodrigo,,,0,billboard,2026-07-03,40.0,begged — olivia rodrigo
32,Sleepless In A Hotel Room,Luke Combs,,,0,billboard,2026-07-03,38.0,sleepless in a hotel room — luke combs
33,u + me = <3,Olivia Rodrigo,,,0,billboard,2026-07-03,36.0,u + me = <3 — olivia rodrigo
34,Less,Olivia Rodrigo,,,0,billboard,2026-07-03,34.0,less — olivia rodrigo
35,Loving Life Again,Ella Langley,,,0,billboard,2026-07-03,32.0,loving life again — ella langley
36,Chicago,Michael Jackson,,,0,billboard,2026-07-03,30.0,chicago — michael jackson
37,E85,Don Toliver,,,0,billboard,2026-07-03,28.000000000000004,e85 — don toliver
38,American Girls,Harry Styles,,,0,billboard,2026-07-03,26.0,american girls — harry styles
39,Ran To Atlanta,Drake Featuring Future & Molly Santana,,,0,billboard,2026-07-03,24.0,ran to atlanta — drake featuring future & molly santana
40,Die On This Hill,Sienna Spiro,,,0,billboard,2026-07-03,22.0,die on this hill — sienna spiro
41,Freakin' Out,Dexter And The Moonrocks,,,0,billboard,2026-07-03,20.0,freakin' out — dexter and the moonrocks
42,Pop Dat Thang,DaBaby,,,0,billboard,2026-07-03,18.0,pop dat thang — dababy
43,Iconic By Mistake,"Le Sserafim, ILLIT & KATSEYE",,,0,billboard,2026-07-03,16.0,"iconic by mistake — le sserafim, illit & katseye"
44,The Great Divide,Noah Kahan,,,0,billboard,2026-07-03,14.000000000000002,the great divide — noah kahan
45,Human Nature,Michael Jackson,,,0,billboard,2026-07-03,12.0,human nature — michael jackson
46,Change My Mind,Riley Green,,,0,billboard,2026-07-03,10.0,change my mind — riley green
47,Don't Tell On Me,Jason Aldean,,,0,billboard,2026-07-03,8.0,don't tell on me — jason aldean
48,Whisper My Name,Drake,,,0,billboard,2026-07-03,6.0,whisper my name — drake
49,Hit The Wall,Gracie Abrams,,,0,billboard,2026-07-03,4.0,hit the wall — gracie abrams
50,Cigarette Smoke,Olivia Rodrigo,,,0,billboard,2026-07-03,2.0,cigarette smoke — olivia rodrigo
